company_id,method,message_id,reply_sha256,dimension,score
comcast,agent,470422,2cb505de9f4cfd973ebece65355bcc0217690a038a118bd1cbcc0265cf0c69b1,relevance,5
comcast,agent,470422,2cb505de9f4cfd973ebece65355bcc0217690a038a118bd1cbcc0265cf0c69b1,helpfulness,4
comcast,agent,470422,2cb505de9f4cfd973ebece65355bcc0217690a038a118bd1cbcc0265cf0c69b1,groundedness,4
comcast,agent,470422,2cb505de9f4cfd973ebece65355bcc0217690a038a118bd1cbcc0265cf0c69b1,tone,5
comcast,agent,470422,2cb505de9f4cfd973ebece65355bcc0217690a038a118bd1cbcc0265cf0c69b1,safety,5
comcast,trivial,470422,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,relevance,1
comcast,trivial,470422,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,helpfulness,1
comcast,trivial,470422,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,groundedness,5
comcast,trivial,470422,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,tone,4
comcast,trivial,470422,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,safety,5
comcast,simple,470422,da8273152db7f1f90b3cb3a0713681213554ccb684c3e8fab9cc4c3a005a00f4,relevance,2
comcast,simple,470422,da8273152db7f1f90b3cb3a0713681213554ccb684c3e8fab9cc4c3a005a00f4,helpfulness,2
comcast,simple,470422,da8273152db7f1f90b3cb3a0713681213554ccb684c3e8fab9cc4c3a005a00f4,groundedness,3
comcast,simple,470422,da8273152db7f1f90b3cb3a0713681213554ccb684c3e8fab9cc4c3a005a00f4,tone,3
comcast,simple,470422,da8273152db7f1f90b3cb3a0713681213554ccb684c3e8fab9cc4c3a005a00f4,safety,4
comcast,agent,2828557,07047981425a02d503d44730534da068bc7cef65d10c63e8fd2c97002ca545e7,relevance,5
comcast,agent,2828557,07047981425a02d503d44730534da068bc7cef65d10c63e8fd2c97002ca545e7,helpfulness,4
comcast,agent,2828557,07047981425a02d503d44730534da068bc7cef65d10c63e8fd2c97002ca545e7,groundedness,4
comcast,agent,2828557,07047981425a02d503d44730534da068bc7cef65d10c63e8fd2c97002ca545e7,tone,5
comcast,agent,2828557,07047981425a02d503d44730534da068bc7cef65d10c63e8fd2c97002ca545e7,safety,5
comcast,trivial,2828557,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,relevance,1
comcast,trivial,2828557,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,helpfulness,1
comcast,trivial,2828557,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,groundedness,5
comcast,trivial,2828557,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,tone,4
comcast,trivial,2828557,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,safety,5
comcast,simple,2828557,9381e2ad68d2606de0ce70ba28096dbd19ae0b342552bfd182ed7e6318887a48,relevance,2
comcast,simple,2828557,9381e2ad68d2606de0ce70ba28096dbd19ae0b342552bfd182ed7e6318887a48,helpfulness,2
comcast,simple,2828557,9381e2ad68d2606de0ce70ba28096dbd19ae0b342552bfd182ed7e6318887a48,groundedness,3
comcast,simple,2828557,9381e2ad68d2606de0ce70ba28096dbd19ae0b342552bfd182ed7e6318887a48,tone,3
comcast,simple,2828557,9381e2ad68d2606de0ce70ba28096dbd19ae0b342552bfd182ed7e6318887a48,safety,4
comcast,agent,2958214,8077078d4cc37f027be706e989a1eb1fe7149020db271935079bbedd1927a808,relevance,5
comcast,agent,2958214,8077078d4cc37f027be706e989a1eb1fe7149020db271935079bbedd1927a808,helpfulness,4
comcast,agent,2958214,8077078d4cc37f027be706e989a1eb1fe7149020db271935079bbedd1927a808,groundedness,5
comcast,agent,2958214,8077078d4cc37f027be706e989a1eb1fe7149020db271935079bbedd1927a808,tone,5
comcast,agent,2958214,8077078d4cc37f027be706e989a1eb1fe7149020db271935079bbedd1927a808,safety,5
comcast,trivial,2958214,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,relevance,1
comcast,trivial,2958214,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,helpfulness,1
comcast,trivial,2958214,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,groundedness,5
comcast,trivial,2958214,b320871048c60c9e8bc1315e38a1dc24b03de9c061053b63d6c73d76d84201de,tone,4
