company_id,conversation_id,message_id,text,intent,should_escalate,relevant_evidence_ids,notes
comcast,1989882,1989886,[USERNAME] [USERNAME] Curse of the shirtless gourd.,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,999481,999482,"[USERNAME] [USERNAME] U changed all of the channel #’s in Fort Wayne,now my Grandma is upset. How about you send out a new paper guide 1st.",television_service,false,[],closest approved intent; escalate if account/current-state/action is needed
comcast,648737,648739,"[USERNAME] 725 NW 167TH Terrance, Miami Gardens 33169. Thank you",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,1410408,1410410,[USERNAME] Together and go find internet elsewhere. This is extremely annoying and unsatisfying. 😡,internet_connection,false,[],closest approved intent; escalate if account/current-state/action is needed
comcast,1759790,1759791,[USERNAME] #mobile_Care over a week- new boxes have not arrived yet,account_access,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,1526173,1526175,[USERNAME] What account info are you wanting,account_access,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2009613,2009614,"[USERNAME] [USERNAME] I've been sticking with this becase I belive the service will be better, but I'm my normally generous paitience is very close to exhausted.",general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,1820993,1820994,"[USERNAME] I am sick and tired of paying over $100/month and having my stream drop 50% of my frames at 2mbps. Fucking fix it, or I'm dropping.",billing_payment,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2135327,2135328,[USERNAME] is the shittiest ISP,internet_connection,false,[],closest approved intent; escalate if account/current-state/action is needed
comcast,52366,52368,my comcast appointment has been delayed. if it dosent arrive today canceling. tired of this,technician_appointment,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2457293,2457294,[USERNAME] Thanks for replying back..now we got it back,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,664783,664784,"[USERNAME] well, when the first 6 seasons are free, and the first 4 episodes of the current season are free, you can understand my shock when now its $",billing_payment,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2381860,2381863,[USERNAME] You can't. I've already spoken to you guys and you can't help me! Stop trying to waste more of my time! 😭😭😭,general_support,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2114550,2114551,Either [USERNAME] has a outage rn or I got hit off line,internet_connection,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2022190,2022191,[USERNAME] #mobile_CareXI ridiculously high latency. Restarting the router doesn’t fix it. Totally unusable for x box and video feeds,internet_connection,false,[],closest approved intent; escalate if account/current-state/action is needed
comcast,1891647,1891648,".[USERNAME] THREE times we have phoned today, and THREE representatives have hung up! Our Internet is still down. .[USERNAME] #tcot",internet_connection,true,[],closest approved intent; escalate if account/current-state/action is needed
comcast,20802,20803,[USERNAME] #mobile_Care. Hello I need assistance with my internet speed,internet_connection,false,[],closest approved intent; escalate if account/current-state/action is needed
comcast,331038,331041,"[USERNAME] I'm not getting any channels coming in, with Ref code: S0a00. I've had problems with channel quality before they stopped.",television_service,false,[],closest approved intent; escalate if account/current-state/action is needed
comcast,2211649,2211652,[USERNAME] Right?! And it’s still says it’s $5.99 a month on my tv. And that’s the only option to watch it. 🙁,billing_payment,true,[],closest approved intent; escalate if account/current-state/action is needed
